"make","model","trim","year start","year end","bp","hub","offset","thread","thread","suggested tire size","tire_size","with"
"Acura","CL",2.2,1998,2000,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","215/60-15",
"Acura","CL",2.2,1998,2000,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","215/60-15",
"Acura","CL",2.2,1998,2000,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","215/60-15",
"Acura","CL",3,1998,2000,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","215/60-15",
"Acura","CL",3,1998,2000,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","215/60-15",
"Acura","CL",3,1998,2000,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","215/60-15",
"Acura","CL  ",3.2,2001,2003,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-16","205/60-16",
"Acura","CL  ",3.2,2001,2003,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-16","205/60-16",
"Acura","CL  ",3.2,2001,2003,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-16","205/60-16",
"Acura","CL  ",3.2,2001,2003,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-16","205/60-16",
"Acura","CL  ",3.2,2001,2003,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-16","205/60-16",
"Acura","Integra ","BASE",1986,2001,"4x100",56.1,"HIGH","12X1.5","NUT","oe-14","195/60-14",
"Acura","Integra ","BASE",1986,2001,"4x100",56.1,"HIGH","12X1.5","NUT","oe-14","195/60-14",
"Acura","Integra ","BASE",1986,2001,"4x100",56.1,"HIGH","12X1.5","NUT","oe-14","195/60-14",
"Acura","Integra ","BASE",1986,2001,"4x100",56.1,"HIGH","12X1.5","NUT","oe-14","195/60-14",
"Acura","Integra ","BASE",1986,2001,"4x100",56.1,"HIGH","12X1.5","NUT","oe-14","195/60-14",
"Acura","Integra ","BASE",1997,2001,"5x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","195/55-15",
"Acura","Integra ","BASE",1997,2001,"5x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","195/55-15",
"Acura","Integra ","BASE",1997,2001,"5x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","195/55-15",
"Acura","Integra ","BASE",1997,2001,"5x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","195/55-15",
"Acura","Legend ","BASE",1986,1990,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","205/60-15",
"Acura","Legend ","BASE",1986,1990,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","205/60-15",
"Acura","Legend ","BASE",1986,1990,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","205/60-15",
"Acura","Legend ","BASE",1986,1990,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","205/60-15",
"Acura","Legend ","BASE",1986,1990,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","205/60-15",
"Acura","Legend ","BASE",1991,1995,"5x114.3",70.1,"HIGH","12X1.5","NUT","oe-15","205/60-15",
"Acura","Legend ","BASE",1991,1995,"5x114.3",70.1,"HIGH","12X1.5","NUT","oe-15","205/60-15",
"Acura","Legend ","BASE",1991,1995,"5x114.3",70.1,"HIGH","12X1.5","NUT","oe-15","205/60-15",
"Acura","Legend ","BASE",1991,1995,"5x114.3",70.1,"HIGH","12X1.5","NUT","oe-15","205/60-15",
"Acura","Legend ","BASE",1991,1995,"5x114.3",70.1,"HIGH","12X1.5","NUT","oe-15","205/60-15",
"Acura","NSX ","BASE",1994,2001,"5x114.3","F-64.1, R-70.1","HIGH","12X1.5","NUT","f/oe-16","215/45-16",
"Acura","NSX ","BASE",1994,2001,"5x114.3","F-64.1, R-70.1","HIGH","12X1.5","NUT","f/oe-16","215/45-16",
"Acura","NSX ","BASE",1994,2001,"5x114.3","F-64.1, R-70.1","HIGH","12X1.5","NUT","f/oe-16","215/45-16",
"Acura","NSX ","BASE",1994,2001,"5x114.3","F-64.1, R-70.1","HIGH","12X1.5","NUT","f/oe-16","215/45-16",
"Acura","NSX ","BASE",2002,2005,"5x114.3","F-64.1, R-70.1","HIGH","12X1.5","NUT","f/oe-17","215/40-17",
"Acura","NSX ","BASE",2002,2005,"5x114.3","F-64.1, R-70.1","HIGH","12X1.5","NUT","f/oe-17","215/40-17",
"Acura","NSX ","BASE",2002,2005,"5x114.3","F-64.1, R-70.1","HIGH","12X1.5","NUT","f/oe-17","215/40-17",
"Acura","NSX ","BASE",2002,2005,"5x114.3","F-64.1, R-70.1","HIGH","12X1.5","NUT","f/oe-17","215/40-17",
"Acura","RL ",3.5,1997,2004,"5x114.3",64.1,"HIGH","12X1.5","NUT","oe-16","215/60-16",
"Acura","RL ",3.5,1997,2004,"5x114.3",64.1,"HIGH","12X1.5","NUT","oe-16","215/60-16",
"Acura","RL ",3.5,1997,2004,"5x114.3",64.1,"HIGH","12X1.5","NUT","oe-16","215/60-16",
"Acura","RL ",3.5,1997,2004,"5x114.3",64.1,"HIGH","12X1.5","NUT","oe-16","215/60-16",
"Acura","RL ",3.5,1997,2004,"5x114.3",64.1,"HIGH","12X1.5","NUT","oe-16","215/60-16",
"Acura","RL ",3.5,2005,2008,"5x120",64.1,"HIGH","12X1.5","NUT","oe-17","245/50-17",
"Acura","RL ",3.5,2005,2008,"5x120",64.1,"HIGH","12X1.5","NUT","oe-17","245/50-17",
"Acura","RL ",3.5,2005,2008,"5x120",64.1,"HIGH","12X1.5","NUT","oe-17","245/50-17",
"Acura","RL ",3.5,2005,2008,"5x120",64.1,"HIGH","12X1.5","NUT","oe-17","245/50-17",
"Acura","RL",3.5,2007,2009,"5x120",64.1,"HIGH+","14X1.5",,"oe-460","245/680-460","technology package and 460mm wheel. technology package is equipped with michelin pax system run flat tires - do not alter"
"Acura","RL",3.5,2009,2009,"5x120",64.1,"HIGH+","14X1.5","NUT","oe-18","245/45-18",
"Acura","RL",3.5,2009,2009,"5x120",64.1,"HIGH+","14X1.5","NUT","oe-18","245/45-18",
"Acura","RL",3.5,2009,2009,"5x120",64.1,"HIGH+","14X1.5","NUT","oe-18","245/45-18",
"Acura","RSX ","BASE",2002,2006,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-16","205/55-16",
"Acura","RSX ","BASE",2002,2006,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-16","205/55-16",
"Acura","RSX ","BASE",2002,2006,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-16","205/55-16",
"Acura","RSX ","BASE",2002,2006,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-16","205/55-16",
"Acura","RSX ","BASE",2002,2006,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-16","205/55-16",
"Acura","TC ",2.5,1992,1995,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","205/60-15",
"Acura","TC ",2.5,1992,1995,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","205/60-15",
"Acura","TC ",2.5,1992,1995,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","205/60-15",
"Acura","TL",2.5,1996,1998,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","205/60-15",
"Acura","TL",2.5,1996,1998,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","205/60-15",
"Acura","TL",2.5,1996,1998,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","205/60-15",
"Acura","TL",2.5,1996,1998,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","205/60-15",
"Acura","TL",3.2,1996,1998,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-15","205/65-15",
"Acura","TL",3.2,1996,1998,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-15","205/65-15",
"Acura","TL",3.2,1996,1998,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-15","205/65-15",
"Acura","TL",3.2,1996,1998,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-15","205/65-15",
"Acura","TL",3.2,1999,2003,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-16","205/60-16",
"Acura","TL",3.2,1999,2003,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-16","205/60-16",
"Acura","TL",3.2,1999,2003,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-16","205/60-16",
"Acura","TL",3.2,1999,2003,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-16","205/60-16",
"Acura","TL ","BASE",2004,2008,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-17","235/45-17",
"Acura","TL ","BASE",2004,2008,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-17","235/45-17",
"Acura","TL ","BASE",2004,2008,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-17","235/45-17",
"Acura","TL ","BASE",2004,2008,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-17","235/45-17",
"Acura","TL","BASE",2009,2009,"5x120",64.1,"HIGH+","14X1.5","NUT","oe-17","245/50-17",
"Acura","TL","BASE",2009,2009,"5x120",64.1,"HIGH+","14X1.5","NUT","oe-17","245/50-17",
"Acura","TL","BASE",2009,2009,"5x120",64.1,"HIGH+","14X1.5","NUT","oe-17","245/50-17",
"Acura","TL","BASE",2009,2009,"5x120",64.1,"HIGH+","14X1.5","NUT","oe-17","245/50-17",
"Acura","TSX","BASE",2004,2008,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-17","215/50-17",
"Acura","TSX","BASE",2004,2008,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-17","215/50-17",
"Acura","TSX","BASE",2004,2008,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-17","215/50-17",
"Acura","TSX","BASE",2004,2008,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-17","215/50-17",
"Acura","TSX","BASE",2009,2009,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-17","225/50-17",
"Acura","TSX","BASE",2009,2009,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-17","225/50-17",
"Acura","TSX","BASE",2009,2009,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-17","225/50-17",
"Acura","TSX","BASE",2009,2009,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-17","225/50-17",
"Acura","VIGOR ","BASE",1992,1994,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","205/60-15",
"Acura","VIGOR ","BASE",1992,1994,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","205/60-15",
"Acura","VIGOR ","BASE",1992,1994,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","205/60-15",
"Acura","VIGOR ","BASE",1992,1994,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","205/60-15",
"Acura","MDX ","BASE",2001,2006,"5x114.3",64.1,"HIGH","12X1.5","NUT","oe-17","235/65-17",
"Acura","MDX ","BASE",2001,2006,"5x114.3",64.1,"HIGH","12X1.5","NUT","oe-17","235/65-17",
"Acura","MDX ","BASE",2001,2006,"5x114.3",64.1,"HIGH","12X1.5","NUT","oe-17","235/65-17",
"Acura","MDX ","BASE",2001,2006,"5x114.3",64.1,"HIGH","12X1.5","NUT","oe-17","235/65-17",
"Acura","MDX ","BASE",2007,2009,"5x120",64.1,"HIGH+","14X1.5","NUT","oe-18","255/55-18",
"Acura","MDX ","BASE",2007,2009,"5x120",64.1,"HIGH+","14X1.5","NUT","oe-18","255/55-18",
"Acura","MDX ","BASE",2007,2009,"5x120",64.1,"HIGH+","14X1.5","NUT","oe-18","255/55-18",
"Acura","MDX ","BASE",2007,2009,"5x120",64.1,"HIGH+","14X1.5","NUT","oe-18","255/55-18",
"Acura","RDX","BASE",2007,2009,"5x114.3",64.1,"HIGH","12X1.5","NUT","oe-18","235/55-18",
"Acura","RDX","BASE",2007,2009,"5x114.3",64.1,"HIGH","12X1.5","NUT","oe-18","235/55-18",
"Acura","RDX","BASE",2007,2009,"5x114.3",64.1,"HIGH","12X1.5","NUT","oe-18","235/55-18",
"Acura","SLX","BASE",1996,1999,"6x139.7",108,"MID","12X1.5","NUT","oe-16","245/70-16",
"Acura","SLX","BASE",1996,1999,"6x139.7",108,"MID","12X1.5","NUT","oe-16","245/70-16",
"Acura","SLX","BASE",1996,1999,"6x139.7",108,"MID","12X1.5","NUT","oe-16","245/70-16",
"Audi Quattro","A3","2.OT",2006,2009,"5x112",57.1,"HIGH+","14.1.5","B BOLT","oe-17","225/45-17","fwd"
"Audi Quattro","A3","2.OT",2006,2009,"5x112",57.1,"HIGH+","14.1.5","B BOLT","oe-17","225/45-17",
"Audi Quattro","A3","2.OT",2006,2009,"5x112",57.1,"HIGH+","14.1.5","B BOLT","oe-17","225/45-17",
"Audi Quattro","A3 ",3.2,2006,2009,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-17","225/45-17",
"Audi Quattro","A3 ",3.2,2006,2009,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-17","225/45-17",
"Audi Quattro","A3 ",3.2,2006,2009,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-17","225/45-17",
"Audi","A4","1.8T",1997,2001,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-15","195/65-15",
"Audi","A4","1.8T",1997,2001,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-15","195/65-15",
"Audi","A4","1.8T",1997,2001,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-15","195/65-15",
"Audi","A4","1.8T",1997,2001,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-15","195/65-15",
"Audi","A4","1.8T",1997,2001,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-15","195/65-15",
"Audi","A4","1.8T",1997,2001,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-15","195/65-15",
"Audi","A4",2.8,1996,2001,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-16","205/55-16",
"Audi","A4",2.8,1996,2001,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-16","205/55-16",
"Audi","A4",2.8,1996,2001,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-16","205/55-16",
"Audi","A4",2.8,1996,2001,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-16","205/55-16",
